author_id,author_name
1,"Brené Brown"
2,"Ryan Holliday"
3,"Harvard Business Review"
4,"Lars Schmidt"
5,"Robert Greene"
6,"Lawrence Freedman"
7,"Michael Bungay Stanier"
8,"Julie Zhuo"
9,"Josh Kaufman"
10,"Jorge Riechman"
11,"Erich Fromm"
12,"Daniel Goleman"
13,"Joe Navarro"
14,"Jeff Weiss"
15,"Amy Gallo"
16,"Karen Dillon"
17,"Max Tegmark"
18,"Caterina Kostoula"
19,"Chris Voss"
20,"Robert B. Cialdini"
21,"Dale Carnegie"
22,"Noah J. Goldstein"
23,"Steve J. Martin"
24,"Igor Ryzov"
25,"Vicenzo Venezia"
26,"Jessica Pryce-Jones"
27,"Rober Greene"
28,"Henry Kissinger"
29,"Simon Sinek"
30,"Daniil Maslyuk"
31,"Frank H. Netter"
32,"Edward C. Weber DO"
33,"Richard A. Jaffe"
34,"José Luis Velayos"
35,"G. Samama"
36,"Shirley M. Tighe"
37,"J.A.;GAL LOZANO"
38,"John Connell
 (Editor)"
39,"PIÉDROLA GIL"
40,"Jane C. Rothrock"
41,"Concepción Plaza Escribano"
42,"Francisco Javier Medina Domínguez"
43,"Jesús Hernández Gómez"
44,"Jesús Martínez Casillas"
45,"Juan José Martínez-Aedo Ollero"
46,"Pilar Castro Ortiz"
47,"Carol Mattson Porth"
48,"Marie Bretonnier"
49,"Emmanuel Godard"
50,"Philippe Liria"
51,"Jean Paul Sigé"
52,"Marion Mistichelli"
53,"Hermann Funk"
54,"Christina Kuhn"
55,"Silke Demme"
56,"Sabino Zubiaurre Cortés"
57,"Jesús María Arsuaga Ferreras"
58,"Benito Garzón Sánchez"
59,"Joanna Kotcher Fuller"
60,"ROBERT FRANK"
61,"BEN BERNANKE"
62,"Antonio Pardo Merino"
63,"Miguel Ángel Ruiz Díaz"
64,"Anthea Hatfield"
65,"Michael Tronson"
66,"J. Liébana Ureña"
67,"Joseph Hair"
68,"Ronald L. Tatham"
69,"Sarah Nettleton"
70,"Sabine Hossenfelder"
71,"Margaret J. Fehrenbach Charles A. Babbush"
72,"Dan L. Longo
 (editor)"
73,"M.D. Fauci"
74,"Anthony S.
 (Editor)"
75,"M.D. Kasper"
76,"Dennis L.
 (Editor)"
77,"M.d. Hauser"
78,"Stephen L.
 (Editor)"
79,"Ph.D. Jameson"
80,"J. Larry"
81,"M.D.
 (Editor)"
82,"Jeremy Harvey"
83,"Raymond Quivy"
84,"David Quammen"
85,"Lisa Randall"
86,"Alan Stern"
87,"David Grinspoon"
88,"Anthony Giddens"
89,"Karen Birdsall"
90,"J. de Echano"
91,"E. Martínez"
92,"P. Montarelo"
93,"L. Navlet"
94,"Pierre Bourdieu"
95,"Jean-Claude Passeron"
96,"Enrique Blanco García"
97,"Harold R. Kerbo"
98,"Julio Aróstegui Sánchez"
99,"Josep Maria Esquirol"
100,"Bernal Díaz del Castillo"
101,"Edward Gibbon"
102,"Alexis Jenni"
103,"Erving Goffman"
104,"Josep Alsinet"
105,"Clara Riba"
106,"Montserrat Ribera"
107,"Joan Subirats"
108,"Ignacio Sánchez-Cuenca"
109,"Thorstein Veblen"
110,"Martha Banta"
111,"Ralf Dahrendorf"
112,"Umberto Eco"
113,"Salvador Giner"
114,Kottak
115,"Diego Fusaro"
116,"Manuel Pérez Yruela"
117,"Jean-Yves Calvez"
118,"Anwar Shaikh"
119,"JANE I SANAHUJAM ANGELA ; GUITERAS"
120,Various
121,"Laura Tam"
122,"Josep Torras i Rodergas"
123,"Paulina Christensen"
124,"Anne Fox"
125,"Fyodor Dostoevsky"
126,"P.D. James"
127,"Silvia Castells Molina"
,"Max Horkheimer"
,"Theodor W. Adorno"
,"Antonio Gramsci"
,"Walter Benjamin"
,"Daniel H. Pink"
,"Jean-Paul Sartre"
,"György Lukács"
,"Thomas Piketty"
,"Paul Lafargue"
,"Ernesto Laclau"
,"Chantal Mouffe"
,"O.G. Sanchis"
,"Joan E. Garcés"
,"Louis Althusser"
,"Vladimir Lenin"
,"Rosa Luxemburg"
,"Francisco Fernández Buey"
,"Rubén Vega García"
,"Donald Sassoon"
,"G.A. Cohen"
,"Daniel Kahneman"
,"Jennifer Geary"
,"Mario Amorós"
,"Robert Service"
,"José Luis Martín"
,"David McLellan"
,"Gustavo Vidal Manzanares"
,"Georg Wilhelm Friedrich Hegel"
,"Karl Marx"
,"Andrés Saborit"
,"Manuel Tuñón de Lara"
,"Luis Sala González"
,"Juan Pablo Fusi"
,"Carme Cebrián"
,"Jose del Barrio"
,"John Rentoul"
,"Isidre Molas"
,"Manuel Alcántara; Antonia Martínez"
,"Gabriel Jackson"
,Larousse
,"Paul Coggle"
,"Heiner Schenke"
,"Lydia Vellaccio"
,Bescherelle
,"Núria Benedito Pujol"
,"Sebastián Trujillo Muñoz"
,"Didier Fassin
 (Editor)"
,"Dominique Memmi
 (Editor)"
,"Xavier Bonal"
,"Carlota Sole"
,"Enrique Santamaria Lorenzo"
,"Olga Solas Gaspar"
,"Norbert Elias"
,"Sònia Parella Rubio"
,"Manuel Moreno Preciado"
,"Susan Cain"
,"Slavoj Zizek"
,"Thomas Erikson"
,"Richard Sennett"
,"Hannah Arendt"
,"Raúl Aguilar Cestero"
,"Lynda Juall Carpenito-Moyet"
,"Enrique Blanco"
,"Ramon Folch"
,"John B. Thompson"
,"Émile Durkheim"
,"Baltasar Gracián"
,"La Boétie"
,"Eduardo Galeano"
,"Peter L. Berger"
,"Joan Estruch"
,"Salvador Cardús i Ros"
,"David Young"
,"Alexis de Tocqueville"
,"Max Weber"
,Herodoto
,Lucrecio
,"Alberto Bernabé Pajares"
,"Isaiah Berlin"
,"Demóstenes"
,"Pascal Carré"
,"Eduardo Infante"
,"Yuval Noah Harari"
,Seneca
,"Niccolò Machiavelli"
,""
,"René Descartes"
,"Bertrand Russell"
,"Viktor E. Frankl"
,"Ana Frank"
,"Baruch Spinoza"
,"Fina Birulés Bertrán"
,Boethius
,"Platón"
,"Marcus Aurelius"
,"Massimo Pigliucci"
,"Gregory Lopez"
,"Gaius Julius Caesar"
,"Antonio Machado"
,"Marcus Tullius Cicero"
,"Carlos García Gual"
,Epictetus
,Aristotle
,"Aristóteles"
,Plutarco
,"Titus Livi"
,"Mahatma Gandhi"
,"Martin Luther King Jr."
,"Clayborne Carson"
,Sophocles
,Homero
,Homer
,Anonymous
,"Frank Morison"
,"Aurélien Géron"
,"John Grisham"
,"Kim Scott"
,"Eduardo Punset"
,"Nelson Mandela"
,"Mark Manson"
,Nietzsche
,"Friederich Nietzsche"
,"David Alegre Lorenz"
,"Georges Simenon"
,"Thomas Mann"
,"Cesare Pavese"
,"Ernest Hemingway"
,"Alicia Rueda"
,"Xosé Neira Vilas"
,"George Orwell"
,"Julio Cortázar"
,"Álvaro Mutis"
,"Gabriel García Márquez"
,"José Saramago"
,"Anton Chéjov"
,"Fiódor Dostoievski"
,"Máximo Gorki"
,Pushkin
,Goethe
,"Albert Camus"
,"William Golding"
,Flaubert
,"André Malraux"
,"James Joyce"
,"Joseph Conrad"
,"Thomas Brussig"
,"Vladimir Nabokov"
,"H. G. Wells"
,"Aldous Huxley"
,"Isaac Asimov"
,"Dmitri Shostakovich"
,"Ryszard Kapuscinski"
,"Raymond Carr"
,"Luis F. Vila"
,Mayakovski
,"Konstantino Kavafis"
,"Henrik Ibsen"
,"William Shakespeare"
,"Miguel Hernández"
,"Walt Whitman"
,"Mercè Saumell"
,"Stephen Hawking"
,"Joan Baptista Xuriguera"
,"Charles Baudelaire"
,"Arthur Rimbaud"
,"Mario Benedetti"
,"Vladimir Mayakovski"
,"Sigmund Freud"
,"Antonio Escohotado"
,"Eugenio Trías"
,"Manuel Rivas"
,"Miquel Martí i Pol"
,"José de Espronceda"
,"Carmen Bernard; Serge Gruzinski"
,"Didier Fassin"
,"Arturo Pérez-Reverte"
,Perejaume
,"Martha C. Nussbaum"
,"Friederich Hölderlin"
,"Javier Marías"
,"Almudena Sasiain"
,"Jesús Adrián Escudero"
,"Martin Heidegger"
,"Michel Foucault"
,"Soren Kierkeegard"
,"Soren Kierkegaard"
,"Byung-Chul Han"
,"Daniel Gamper"
,"Michel de Montaigne"
,"Fernando Bárcena"
,"Ortega y Gasset"
,"Primo Levi"
,"Rainer Maria Rilke"
,"Arturo Barea"
,"Juan Rulfo"
,"Dante Aligheri"
,"Theodor Adorno"
,"W.J. Leatherbarrow"
,"Paloma Ledrado Villafuertes"
,"Eladio Romero García; Iván Romero Catalán"
,"Erich From"
,"Marcel Proust"
,"F.M. Dostoyevski"
,"José Martínez Millán"
,"Georges Vigarello"
,"Max F. Perutz"
,"Shaila Romero Ferrer"
,"Anna Funder"
,"Philippe Claudel"
,Hegel
,"Dan Simmons"
,"Ludmila Ulitskaya"
,"Mao Zedong"
,"Peter Thomson; Glendyr Sacks"
,"Maceiras Fafián (editor)"
,"Konrad Banachewicz; Luca Massaron"
,"Fred Moseley; Tony Smith"
,"Jesús Mosterín"
,"William Outhwaite"
,"Allen W. Wood"
,"Nils Baer"
,"Georg Von Lengerke; Dorte Schromges"
,"Antonio Padial Soler"
,"James Clear"
,"Fyodor Dostoyevsky"
,"Milton & Rose Fiedman"
,"Adin Steinsaltz"
,"Guías Azules"
,"Fernando Sánchez Dragó"
,"Benito Pérez Galdós"
,"Glen Arnold"
,"Natsume Soseki"
,"Margaret Miers"
,"Paul Godin"
,"Geoff Wilkinson; Margaret Miers"
,"Peter Morrall"
,"Elizabeth Clark"
,"Reyes Mate"
